interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts,random_seed,scenario
1800.0,2100.0,362.0, CMB_to_KBJ_001_2,308.0,1770.31,305,138.0,116.0,10.0,2,100.0,2,72.4,61.6,5.9,1.02,58.45,0.43,24.86,1.13,12,11,13,331.38,5.0,2,Static TL
2100.0,2400.0,533.0, CMB_to_KBJ_001_2,311.0,1458.67,307,139.0,139.0,10.0,2,100.0,3,88.83,51.83,4.86,1.02,43.35,0.99,12.53,1.27,25,26,27,360.54,4.0,2,Static TL
2400.0,2700.0,191.0, CMB_to_KBJ_001_2,191.0,891.22,222,75.0,75.0,10.0,3,100.0,3,63.67,63.67,2.97,0.74,30.04,0.79,16.17,0.89,14,15,15,255.04,4.0,2,Static TL
2700.0,3000.0,287.0, CMB_to_KBJ_001_2,287.0,1828.92,310,118.0,118.0,10.0,3,100.0,3,71.75,71.75,6.1,1.03,60.33,0.64,18.5,1.21,18,15,18,346.64,5.0,2,Static TL
3000.0,3300.0,636.0, CMB_to_KBJ_001_2,467.0,1675.67,488,136.0,125.0,10.0,3,81.55,3,63.6,46.7,5.59,1.63,47.22,0.5,22.92,1.88,20,21,23,543.66,9.0,2,Static TL
3300.0,3600.0,224.0, CMB_to_KBJ_001_2,223.0,1054.61,221,121.0,121.0,10.0,2,100.0,2,74.67,74.33,3.52,0.74,31.18,1.38,9.06,0.96,25,27,27,266.49,2.0,2,Static TL
3600.0,3900.0,392.0, CMB_to_KBJ_001_2,392.0,1395.14,409,126.0,126.0,10.0,3,83.12,3,65.33,65.33,4.65,1.36,38.59,0.63,18.54,1.62,24,22,24,464.02,7.0,2,Static TL
3900.0,4200.0,488.0, CMB_to_KBJ_001_2,420.0,1616.48,415,145.0,102.0,10.0,3,79.99,3,69.71,60.0,5.39,1.38,43.3,0.45,24.37,1.56,16,15,18,450.69,5.0,2,Static TL
4200.0,4500.0,696.0, CMB_to_KBJ_001_2,481.0,1572.47,478,133.0,133.0,10.0,3,96.83,3,116.0,80.17,5.24,1.59,43.08,0.84,14.37,1.92,33,36,36,544.62,3.0,2,Static TL
4500.0,4800.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,74.75,1,0.0,0.0,0.0,0.0,0.39,15.36,0.08,0.01,2,2,2,2.36,0.0,2,Static TL
4800.0,5100.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,2,Static TL
5100.0,5157.0,0.0, CMB_to_KBJ_001_2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,2,Static TL
0.0,300.0,132.0, CMB_to_KBJ_001_2,132.0,521.57,148,64.0,64.0,10.0,3,100.0,3,44.0,44.0,1.74,0.49,15.49,1.01,11.89,0.63,14,14,14,177.21,7.0,3,Static TL
300.0,600.0,82.0, CMB_to_KBJ_001_2,82.0,375.3,96,38.0,38.0,10.0,3,100.0,3,20.5,20.5,1.25,0.32,14.75,1.92,6.3,0.49,18,15,18,128.65,5.0,3,Static TL
600.0,900.0,419.0, CMB_to_KBJ_001_2,342.0,1111.51,340,148.0,112.0,10.0,3,100.0,3,83.8,68.4,3.71,1.13,27.71,0.3,35.38,1.22,7,9,10,360.31,2.0,3,Static TL
900.0,1200.0,257.0, CMB_to_KBJ_001_2,257.0,1301.97,313,149.0,149.0,10.0,2,88.91,3,51.4,51.4,4.34,1.04,38.59,0.33,30.36,1.17,10,11,11,340.95,6.0,3,Static TL
1200.0,1500.0,204.0, CMB_to_KBJ_001_2,204.0,733.9,226,146.0,146.0,10.0,3,100.0,3,68.0,68.0,2.45,0.75,23.32,0.69,17.08,0.88,14,14,14,249.93,5.0,3,Static TL
1500.0,1800.0,524.0, CMB_to_KBJ_001_2,524.0,1779.0,518,146.0,146.0,10.0,3,100.0,3,87.33,87.33,5.93,1.73,48.13,0.39,27.09,1.91,20,17,20,555.34,8.0,3,Static TL
1800.0,2100.0,631.0, CMB_to_KBJ_001_2,483.0,1968.69,476,142.0,115.0,10.0,3,94.02,3,63.1,48.3,6.56,1.59,57.18,0.35,31.4,1.75,13,14,16,513.43,7.0,3,Static TL
2100.0,2400.0,630.0, CMB_to_KBJ_001_2,406.0,1495.29,438,140.0,140.0,10.0,3,100.0,3,105.0,67.67,4.98,1.46,41.71,0.69,18.23,1.73,24,26,26,495.26,5.0,3,Static TL
2400.0,2700.0,146.0, CMB_to_KBJ_001_2,146.0,1022.18,144,126.0,126.0,10.0,2,97.21,2,73.0,73.0,3.41,0.48,36.36,1.02,9.93,0.61,16,16,16,169.4,3.0,3,Static TL
2700.0,3000.0,330.0, CMB_to_KBJ_001_2,330.0,1638.14,351,118.0,118.0,10.0,3,100.0,3,55.0,55.0,5.46,1.17,51.44,0.54,21.01,1.35,18,15,18,391.18,8.0,3,Static TL
3000.0,3300.0,513.0, CMB_to_KBJ_001_2,399.0,1688.24,395,129.0,109.0,10.0,3,96.74,3,73.28,57.0,5.63,1.32,51.63,0.63,19.47,1.55,19,21,22,445.45,4.0,3,Static TL
3300.0,3600.0,224.0, CMB_to_KBJ_001_2,224.0,994.98,222,121.0,121.0,9.35,2,100.0,2,112.0,112.0,3.32,0.74,29.55,1.42,9.02,0.97,26,27,27,266.03,2.0,3,Static TL
3600.0,3900.0,300.0, CMB_to_KBJ_001_2,300.0,1298.58,292,126.0,126.0,9.1,2,100.0,3,37.5,37.5,4.33,0.97,38.49,0.75,16.04,1.18,20,18,20,336.55,8.0,3,Static TL
3900.0,4200.0,433.0, CMB_to_KBJ_001_2,393.0,1711.61,390,125.0,103.0,9.42,2,74.02,2,86.6,78.6,5.71,1.3,46.32,0.5,24.28,1.47,15,15,17,425.87,3.0,3,Static TL
4200.0,4500.0,511.0, CMB_to_KBJ_001_2,323.0,1231.73,321,133.0,133.0,9.4,2,100.0,2,127.75,80.75,4.11,1.07,41.26,1.26,9.35,1.39,36,37,38,385.02,3.0,3,Static TL
