tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime,random_seed,scenario
177.0, KBJ_to_CMB_001_4,57.78,0.0,14.53,164.0,1.81, MRT_to_KB_001.37_4,2.1,0.0,0.0, tripinfo_0_69,13.0, 0_69,0,134.83,0.9,0.0,2.84, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
178.0, KBJ_to_CMB_002_2,146.55,0.95,15.7,126.0,0.12, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_51,52.0, 0_51,0,399.35,1.02,0.0,26.05, Motor_Cycle, ,1,1.0,64607,dynamic_DQL_vehicle_data
179.0, 30093400_1,127.33,-0.55,9.28,132.0,1.84, CMB_to_KBJ_001_2,4.3,0.0,0.0, tripinfo_0_53,47.0, 0_53,0,242.06,1.15,0.0,26.25, Car, ,1,6.0,64607,dynamic_DQL_vehicle_data
179.0, KBJ_to_CMB_002_3,146.55,-0.2,12.54,148.0,0.52, MRT_to_KB_001.37_3,4.3,0.0,0.0, tripinfo_0_59,31.0, 0_59,0,297.79,0.79,0.0,7.34, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
179.0, KBJ_to_CMB_002_2,146.55,0.15,15.43,151.0,0.06, MRT_to_KB_001_2,2.1,0.0,0.0, tripinfo_0_63,28.0, 0_63,0,348.78,0.98,0.0,4.8, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
179.0, KBJ_to_CMB_001_3,57.78,-0.45,13.41,165.0,2.21, MRT_to_KB_001.37_3,5.4,0.0,0.0, tripinfo_0_70,14.0, 0_70,0,131.53,0.83,0.0,3.62, Van, ,0,0.0,64607,dynamic_DQL_vehicle_data
181.0, KBJ_to_CMB_002_3,146.55,-0.6,17.56,143.0,0.96, MRT_to_KB_003_2,4.3,0.0,0.0, tripinfo_0_57,38.0, 0_57,0,397.15,1.15,0.0,14.86, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
183.0, KBJ_to_CMB_002_1,146.55,-0.1,5.76,0.0,0.0, MRT_to_KB_001_1,12.1,0.0,0.0, tripinfo_bus_100/101/400/412/418/428/430/433:0.0,183.0, bus_100/101/400/412/418/428/430/433:0.0,0,338.78,1.0,117.0,44.55, bus, ,1,1.0,64607,dynamic_DQL_vehicle_data
183.0, KBJ_to_CMB_002_3,146.55,-0.6,17.21,157.0,0.33, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_67,26.0, 0_67,0,346.58,1.05,0.0,4.15, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
185.0, KBJ_to_CMB_002_2,146.55,0.75,10.98,156.0,0.5, MRT_to_KB_001_2,4.3,0.0,0.0, tripinfo_0_66,29.0, 0_66,0,346.58,1.18,0.0,10.08, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
192.0, KB_to_MRT_002_1,130.27,0.0,14.82,0.0,0.0, CMB_to_KBJ_003_1,12.1,0.0,0.0, tripinfo_bus_100/101/400/412/418/428/430/433:1.0,192.0, bus_100/101/400/412/418/428/430/433:1.0,0,435.77,1.0,50.0,115.05, bus, ,3,68.0,64607,dynamic_DQL_vehicle_data
192.0, KBJ_to_CMB_002_1,146.55,1.3,15.48,161.0,1.59, MRT_to_KB_001_3,2.1,0.0,0.0, tripinfo_0_68,31.0, 0_68,0,348.78,0.95,0.0,7.08, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
195.0, KBJ_to_CMB_002_1,146.55,0.0,15.4,168.0,0.96, MRT_to_KB_001_2,2.1,0.0,0.0, tripinfo_0_74,27.0, 0_74,0,348.78,1.01,0.0,4.32, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
195.0, KBJ_to_CMB_001_2,57.78,0.5,14.94,174.0,0.52, MRT_to_KB_003_1,4.3,0.0,0.0, tripinfo_0_78,21.0, 0_78,0,231.99,0.95,0.0,3.6, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
197.0, KBJ_to_CMB_002_1,146.55,-0.0,15.8,164.0,0.31, MRT_to_KB_003_1,2.65,0.0,0.0, tripinfo_0_71,33.0, 0_71,0,398.8,1.23,0.0,8.16, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
197.0, KBJ_to_CMB_001_3,57.78,-0.45,14.75,176.0,0.27, MRT_to_KB_003_2,4.3,0.0,0.0, tripinfo_0_79,21.0, 0_79,0,231.99,0.93,0.0,3.57, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
200.0, KBJ_to_CMB_002_1,146.55,0.0,16.27,178.0,0.75, MRT_to_KB_001.37_2,2.1,0.0,0.0, tripinfo_0_80,22.0, 0_80,0,299.99,1.07,0.0,4.5, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
201.0, KBJ_to_CMB_002_2,146.55,-0.45,13.26,165.0,0.23, MRT_to_KB_003_2,4.3,0.0,0.0, tripinfo_0_72,36.0, 0_72,0,397.15,0.82,0.0,3.96, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
201.0, KBJ_to_CMB_002_3,146.55,-0.6,15.23,177.0,3.93, MRT_to_KB_001.37_4,4.3,0.0,0.0, tripinfo_0_77,24.0, 0_77,0,297.79,0.92,0.0,3.65, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
202.0, KBJ_to_CMB_002_2,146.55,-0.45,15.2,173.0,1.98, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_75,29.0, 0_75,0,346.58,1.25,0.0,11.16, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
207.0, KBJ_to_CMB_001_3,57.78,-0.45,14.9,185.0,0.24, MRT_to_KB_003_2,5.4,0.0,0.0, tripinfo_0_83,22.0, 0_83,0,230.89,0.91,0.0,4.02, Van, ,0,0.0,64607,dynamic_DQL_vehicle_data
210.0, KBJ_to_CMB_002_1,146.55,0.0,17.8,185.0,0.5, MRT_to_KB_001_2,2.1,0.0,0.0, tripinfo_0_82,25.0, 0_82,0,348.78,1.1,0.0,4.42, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
213.0, KBJ_to_CMB_001_3,57.78,-1.15,16.89,191.0,0.47, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_87,22.0, 0_87,0,234.19,1.09,0.0,6.67, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
215.0, KBJ_to_CMB_002_1,146.55,0.0,15.17,184.0,0.48, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_81,31.0, 0_81,0,399.35,0.99,0.0,4.59, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
215.0, KBJ_to_CMB_002_2,146.55,0.0,15.83,187.0,0.13, MRT_to_KB_001_3,2.1,0.0,0.0, tripinfo_0_84,28.0, 0_84,0,348.78,0.97,0.0,4.57, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
