tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
185.00, 30093400_1, 127.33, 0.00, 7.42, 131.00, 0.84, CMB_to_KBJ_001_2, 2.10, 0.00, 0.00, tripinfo_0_53, 54.00, 0_53, 0, 244.26, 1.05, 0.00, 31.40, Motor_Cycle, , 1, 9.00
188.00, KBJ_to_CMB_002_2, 146.55, 0.00, 12.54, 157.00, 0.33, MRT_to_KB_001_3, 2.10, 0.00, 0.00, tripinfo_0_67, 31.00, 0_67, 0, 348.78, 0.83, 0.00, 3.87, Motor_Cycle, , 0, 0.00
190.00, KBJ_to_CMB_002_1, 146.55, 1.30, 15.88, 162.00, 2.59, MRT_to_KB_001_3, 2.10, 0.00, 0.00, tripinfo_0_68, 28.00, 0_68, 0, 348.78, 0.96, 0.00, 4.90, Motor_Cycle, , 0, 0.00
192.00, KBJ_to_CMB_002_1, 146.55, -0.70, 18.85, 168.00, 0.96, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_74, 24.00, 0_74, 0, 346.58, 1.17, 0.00, 4.42, Car, , 0, 0.00
195.00, KBJ_to_CMB_002_2, 146.55, -0.45, 16.76, 165.00, 0.23, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_72, 30.00, 0_72, 0, 397.15, 1.01, 0.00, 4.01, Car, , 0, 0.00
196.00, KB_to_MRT_002_1, 130.27, 0.00, 12.86, 0.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.0, 196.00, bus_100/101/400/412/418/428/430/433:1.0, 0, 435.77, 1.00, 51.00, 118.58, bus, , 3, 72.00
197.00, KBJ_to_CMB_001_2, 57.78, 0.00, 13.78, 174.00, 0.52, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_78, 23.00, 0_78, 0, 233.64, 0.87, 0.00, 4.00, 3_Wheeler, , 0, 0.00
198.00, KBJ_to_CMB_002_1, 146.55, 0.30, 14.72, 164.00, 0.31, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_71, 34.00, 0_71, 0, 399.35, 0.95, 0.00, 6.18, Motor_Cycle, , 0, 0.00
200.00, KBJ_to_CMB_002_2, 146.55, -0.45, 15.68, 173.00, 1.98, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_75, 27.00, 0_75, 0, 346.58, 0.98, 0.00, 3.66, Car, , 0, 0.00
200.00, KBJ_to_CMB_002_3, 146.55, -0.20, 16.02, 176.00, 2.93, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_77, 24.00, 0_77, 0, 297.79, 0.97, 0.00, 4.19, Car, , 0, 0.00
